Закупки по;Реестровый номер закупки;Способ определения поставщика (подрядчика. исполнителя). подрядной организации (размещения закупки);Наименование закупки;Предмет электронного аукциона (только для ПП РФ 615);Идентификационный код закупки;Номер лота;Наименование лота; Начальная (максимальная) цена контракта ;Валюта;Начальная (максимальная) цена в валюте контракта;Валюта контракта;Классификация по ОКДП;Классификация по ОКПД;Классификация по ОКПД2;Код позиции;Наименование Заказчика;Организация. осуществляющая размещение ;Дата размещения;Дата обновления;Этап закупки;Особенности размещения заказа\ Преимущества (44-ФЗ);Дата начала подачи заявок;Дата окончания подачи заявок;Дата проведения электронного аукциона
44-ФЗ;№0342100003114000063;Электронный аукцион;Амфибийный катер на воздушной подушке с транспортировочным трейлером «Марс-700 или эквивалент (ЭА-10);;;;;9400535.72;RUB;;;;;;;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ПРИВОЛЖСКОЕ ОКРУЖНОЕ УПРАВЛЕНИЕ МАТЕРИАЛЬНО-ТЕХНИЧЕСКОГО СНАБЖЕНИЯ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ""";"федеральное казенное учреждение ""Приволжское окружное управление материально-технического снабжения Министерства внутренних дел Российской Федерации""";31.03.2014;21.05.2014;Работа комиссии;;31.03.2014;08.05.2014;
44-ФЗ;№0373200068615000061;Электронный аукцион;Аукцион в  электронной форме на право заключения контракта на закупку в 2015 году маломерного (до 20 метров) судейско -спасательного  судна-газохода  катамаранного типа для подведомственного учреждения Москомспорта;;;;;49 491 705,00;RUB;;;;;;;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ДИРЕКЦИЯ ПО ЭКСПЛУАТАЦИИ СПОРТИВНЫХ ЗДАНИЙ И СООРУЖЕНИЙ"" ДЕПАРТАМЕНТА СПОРТА ГОРОДА МОСКВЫ";"Государственное казенное учреждение города Москвы ""Дирекция по строительству. реконструкции и эксплуатации спортивных зданий и сооружений"" Департамента физической культуры и спорта города Москвы";20.03.2015;28.04.2015;Определение поставщика завершено;;23.03.2015;08.04.2015;
44-ФЗ;№0167200003414004567;Электронный аукцион;АЭ-3125/14 на поставку катера на воздушной подушке;;;;;2496666.67;RUB;;;;;;;ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ. ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО ТЮМЕНСКОЙ ОБЛАСТИ;Управление государственных закупок Тюменской области;25.08.2014;01.02.2016;Определение поставщика завершено;;29.08.2014;08.09.2014;
44-ФЗ;№0167200003416003831;Электронный аукцион;АЭ-3217/16 на поставку судна на воздушной подушке;;;;;4 646 000,00;RUB;;;;;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ. ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО ТЮМЕНСКОЙ ОБЛАСТИ;УПРАВЛЕНИЕ ГОСУДАРСТВЕННЫХ ЗАКУПОК ТЮМЕНСКОЙ ОБЛАСТИ;24.06.2016;28.07.2016;Определение поставщика завершено;;24.06.2016;11.07.2016;
44-ФЗ;№0167200003414005472;Электронный аукцион;АЭ-4123/14 на поставку катера на воздушной подушке;;;;;2496666.67;RUB;;;;;;;ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ. ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО ТЮМЕНСКОЙ ОБЛАСТИ;Управление государственных закупок Тюменской области;25.09.2014;03.10.2014;Определение поставщика завершено;;25.09.2014;03.10.2014;
44-ФЗ;№0345100010320000004;Электронный аукцион;Аэролодка;;'201470900201247110100100070023011244';;;2 355 000,00;RUB;;;;;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""НИЖНЕ-СВИРСКИЙ ГОСУДАРСТВЕННЫЙ ПРИРОДНЫЙ ЗАПОВЕДНИК""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""НИЖНЕ-СВИРСКИЙ ГОСУДАРСТВЕННЫЙ ПРИРОДНЫЙ ЗАПОВЕДНИК""";10.12.2020;18.12.2020;Определение поставщика завершено;Субъектам малого предпринимательства. социально ориентированным некоммерческим организациям;10.12.2020;18.12.2020;
44-ФЗ;№0345100010320000001;Электронный аукцион;Аэролодка;;'201470900201247110100100070013011244';;;2 355 000,00;RUB;;;;;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""НИЖНЕ-СВИРСКИЙ ГОСУДАРСТВЕННЫЙ ПРИРОДНЫЙ ЗАПОВЕДНИК""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""НИЖНЕ-СВИРСКИЙ ГОСУДАРСТВЕННЫЙ ПРИРОДНЫЙ ЗАПОВЕДНИК""";09.12.2020;10.12.2020;Определение поставщика отменено;Субъектам малого предпринимательства. социально ориентированным некоммерческим организациям;09.12.2020;17.12.2020;
44-ФЗ;№0319100033115000016;Электронный аукцион;Аэролодка (аэросани) с прицепом для транспортировки;;;;;2 973 100,00;RUB;;;;;;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ  УЧРЕЖДЕНИЕ ""ГОСУДАРСТВЕННЫЙ ПРИРОДНЫЙ БИОСФЕРНЫЙ ЗАПОВЕДНИК ""ЦЕНТРАЛЬНОСИБИРСКИЙ""";"Федеральное государственное бюджетное  учреждение ""Государственный природный биосферный заповедник ""Центральносибирский""";12.08.2015;14.09.2015;Определение поставщика завершено;Субъектам малого предпринимательства и социально ориентированным некоммерческим организациям (в соответствии со статьей 30 Федерального закона № 44-ФЗ);12.08.2015;26.08.2015;
44-ФЗ;№0173100003417000067;Электронный аукцион;Аэролодка с двигателем не менее 100 л.с. с трейлером;;'171770703495277070100132300013011212';;;17910841.8;RUB;;;;;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;МИНИСТЕРСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ. ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ;МИНИСТЕРСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ. ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ;14.09.2017;04.12.2017;Определение поставщика завершено;;14.09.2017;02.10.2017;
44-ФЗ;№0167300000818000103;Электронный аукцион;Аэролодка с прицепом для транспортировки;;'183720603170372060100100150010000000';;;2 118 100,00;RUB;;;;;"30.11.21.120: Суда речные пассажирские; 29.20.23.190: Прицепы и полуприцепы прочие. не включенные в другие группировки";"30.11.21.120: Суда речные пассажирские; 29.20.23.190: Прицепы и полуприцепы прочие. не включенные в другие группировки";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""СЛУЖБА ОБЕСПЕЧЕНИЯ БЕЗОПАСНОСТИ НА ВОДЕ""";АДМИНИСТРАЦИЯ ГОРОДА ТОБОЛЬСКА ИСПОЛНИТЕЛЬНО-РАСПОРЯДИТЕЛЬНЫЙ ОРГАН МЕСТНОГО САМОУПРАВЛЕНИЯ;08.05.2018;22.05.2018;Определение поставщика завершено;;08.05.2018;22.05.2018;
44-ФЗ;№0373100094215000002;Электронный аукцион;"Баржа-площадка ""БС-218"" проекта 943. г/п 870 т.. 1980 г.";;;;;4 821 250,00;RUB;;;;;;;"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ПОДВОДНО-ТЕХНИЧЕСКИХ. АВАРИЙНО-СПАСАТЕЛЬНЫХ И СУДОПОДЪЕМНЫХ РАБОТ НА РЕЧНОМ ТРАНСПОРТЕ ""ПОДВОДРЕЧСТРОЙ""";"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ПОДВОДНО-ТЕХНИЧЕСКИХ. АВАРИЙНО-СПАСАТЕЛЬНЫХ И СУДОПОДЪЕМНЫХ РАБОТ НА РЕЧНОМ ТРАНСПОРТЕ ""ПОДВОДРЕЧСТРОЙ""";13.05.2015;30.05.2015;Определение поставщика завершено;;13.05.2015;29.05.2015;
44-ФЗ;№0373100119614000011;Открытый конкурс;Выполнение проектных работ по объектам: «Строительство специализированных гидрографических катеров». «Строительство лоцманских катеров ледового класса Ice3». «Строительство лоцмейстерских судов ледового класса Ice3». «Строительство гидрографических лоцмейстерских судов ледового класса Arc7».;;;4;Выполнение проектных работ по объекту «Строительство гидрографических лоцмейстерских судов ледового класса Arc7»;8 875 000,00;RUB;;;;;;;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";"Федеральное казенное учреждение ""Дирекция государственного заказчика программ развития морского транспорта""";29.05.2014;21.07.2014;Определение поставщика завершено;Субъектам малого предпринимательства и социально ориентированным некоммерческим организациям (в соответствии со статьей 30 Федерального закона № 44-ФЗ);29.05.2014;19.06.2014;
44-ФЗ;№0373100119614000011;Открытый конкурс;Выполнение проектных работ по объектам: «Строительство специализированных гидрографических катеров». «Строительство лоцманских катеров ледового класса Ice3». «Строительство лоцмейстерских судов ледового класса Ice3». «Строительство гидрографических лоцмейстерских судов ледового класса Arc7».;;;3;Выполнение проектных работ по объекту «Строительство лоцмейстерских судов ледового класса Ice3»;3 000 000,00;RUB;;;;;;;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";"Федеральное казенное учреждение ""Дирекция государственного заказчика программ развития морского транспорта""";29.05.2014;21.07.2014;Определение поставщика завершено;Субъектам малого предпринимательства и социально ориентированным некоммерческим организациям (в соответствии со статьей 30 Федерального закона № 44-ФЗ);29.05.2014;19.06.2014;
